2015-09-01 18:25:17.887 DEBUG o.d.exploration.ExplorationStrategy      decide(ExplorationActionRunResult{successful=true, snapshot=UiautomatorWindowDump{at.markushi.expensemanager. Widgets# 36}, DeviceLogs{apiLogs#=4, containsMonitorInitMsgs=true}, exception=MissingDeviceException})
2015-09-01 18:25:17.939 INFO  o.d.exploration.ExplorationStrategy        0m  0s /   1m  0s i:    2 <ExplAct LC? 0 Wdgt:LinearLayout/""/""/[67,70]>
2015-09-01 18:25:17.989 DEBUG org.droidmate.device.AndroidDevice       readLogcatMessages(tag: Monitor_init)
2015-09-01 18:25:18.033 DEBUG org.droidmate.device.AndroidDevice       readLogcatMessages(tag: Instrumentation)
2015-09-01 18:25:18.072 DEBUG org.droidmate.exploration.ApiLogsReader  getAndClearCurrentApiLogsFromMonitorTcpServer(deviceTimeDiff)
2015-09-01 18:25:18.073 DEBUG org.droidmate.device.AndroidDevice       readAndClearMonitorTcpMessages()
2015-09-01 18:25:18.089 DEBUG org.droidmate.exploration.ApiLogsReader  apiLogs# 0
2015-09-01 18:25:18.103 DEBUG org.droidmate.device.AndroidDevice       perform(ClickGuiAction{67 70 long: false})
2015-09-01 18:25:20.044 DEBUG org.droidmate.exploration.ApiLogsReader  getAndClearCurrentApiLogsFromMonitorTcpServer(deviceTimeDiff)
2015-09-01 18:25:20.045 DEBUG org.droidmate.device.AndroidDevice       readAndClearMonitorTcpMessages()
2015-09-01 18:25:20.068 DEBUG org.droidmate.exploration.ApiLogsReader  apiLogs# 0
2015-09-01 18:25:20.071 DEBUG org.droidmate.device.AndroidDevice       getGuiSnapshot()
2015-09-01 18:25:20.170 DEBUG org.droidmate.device.AndroidDevice       readLogcatMessages(tag: org.droidmate.uiad)
2015-09-01 18:25:20.228 DEBUG org.droidmate.device.AndroidDevice       clearLogcat()
2015-09-01 18:25:20.268 DEBUG o.d.exploration.ExplorationStrategy      decide(ExplorationActionRunResult{successful=true, snapshot=UiautomatorWindowDump{at.markushi.expensemanager. Widgets# 32}, DeviceLogs{apiLogs#=0, containsMonitorInitMsgs=false}, exception=MissingDeviceException})
2015-09-01 18:25:20.285 INFO  o.d.exploration.ExplorationStrategy        0m  2s /   1m  0s i:    3 <ExplAct LC? 0 Wdgt:TextView/"Statistics"/"at.markushi.expensemanager:id/txt_menu_home_stats"/[148,449]>
2015-09-01 18:25:20.288 DEBUG org.droidmate.device.AndroidDevice       readLogcatMessages(tag: Monitor_init)
2015-09-01 18:25:20.334 DEBUG org.droidmate.device.AndroidDevice       readLogcatMessages(tag: Instrumentation)
2015-09-01 18:25:20.367 DEBUG org.droidmate.exploration.ApiLogsReader  getAndClearCurrentApiLogsFromMonitorTcpServer(deviceTimeDiff)
2015-09-01 18:25:20.367 DEBUG org.droidmate.device.AndroidDevice       readAndClearMonitorTcpMessages()
2015-09-01 18:25:20.388 DEBUG org.droidmate.exploration.ApiLogsReader  apiLogs# 0
2015-09-01 18:25:20.392 DEBUG org.droidmate.device.AndroidDevice       perform(ClickGuiAction{148 449 long: false})
2015-09-01 18:25:22.969 DEBUG org.droidmate.exploration.ApiLogsReader  getAndClearCurrentApiLogsFromMonitorTcpServer(deviceTimeDiff)
2015-09-01 18:25:22.970 DEBUG org.droidmate.device.AndroidDevice       readAndClearMonitorTcpMessages()
2015-09-01 18:25:22.995 DEBUG org.droidmate.exploration.ApiLogsReader  apiLogs# 1
2015-09-01 18:25:22.996 DEBUG org.droidmate.device.AndroidDevice       getGuiSnapshot()
2015-09-01 18:25:23.089 DEBUG org.droidmate.device.AndroidDevice       readLogcatMessages(tag: org.droidmate.uiad)
2015-09-01 18:25:23.146 DEBUG org.droidmate.device.AndroidDevice       clearLogcat()
2015-09-01 18:25:23.190 DEBUG o.d.exploration.ExplorationStrategy      decide(ExplorationActionRunResult{successful=true, snapshot=UiautomatorWindowDump{at.markushi.expensemanager. Widgets# 30}, DeviceLogs{apiLogs#=1, containsMonitorInitMsgs=false}, exception=MissingDeviceException})
2015-09-01 18:25:23.195 INFO  o.d.exploration.ExplorationStrategy        0m  5s /   1m  0s i:    4 <ExplAct LC? 0 Wdgt:LinearLayout/""/""/[118,70]>
2015-09-01 18:25:23.197 DEBUG org.droidmate.device.AndroidDevice       readLogcatMessages(tag: Monitor_init)
2015-09-01 18:25:23.235 DEBUG org.droidmate.device.AndroidDevice       readLogcatMessages(tag: Instrumentation)
2015-09-01 18:25:23.280 DEBUG org.droidmate.exploration.ApiLogsReader  getAndClearCurrentApiLogsFromMonitorTcpServer(deviceTimeDiff)
2015-09-01 18:25:23.281 DEBUG org.droidmate.device.AndroidDevice       readAndClearMonitorTcpMessages()
2015-09-01 18:25:23.301 DEBUG org.droidmate.exploration.ApiLogsReader  apiLogs# 0
2015-09-01 18:25:23.304 DEBUG org.droidmate.device.AndroidDevice       perform(ClickGuiAction{118 70 long: false})
2015-09-01 18:25:25.145 DEBUG org.droidmate.exploration.ApiLogsReader  getAndClearCurrentApiLogsFromMonitorTcpServer(deviceTimeDiff)
2015-09-01 18:25:25.146 DEBUG org.droidmate.device.AndroidDevice       readAndClearMonitorTcpMessages()
2015-09-01 18:25:25.160 DEBUG org.droidmate.exploration.ApiLogsReader  apiLogs# 0
2015-09-01 18:25:25.161 DEBUG org.droidmate.device.AndroidDevice       getGuiSnapshot()
2015-09-01 18:25:25.260 DEBUG org.droidmate.device.AndroidDevice       readLogcatMessages(tag: org.droidmate.uiad)
2015-09-01 18:25:25.319 DEBUG org.droidmate.device.AndroidDevice       clearLogcat()
2015-09-01 18:25:25.349 DEBUG o.d.exploration.ExplorationStrategy      decide(ExplorationActionRunResult{successful=true, snapshot=UiautomatorWindowDump{at.markushi.expensemanager. Widgets# 31}, DeviceLogs{apiLogs#=0, containsMonitorInitMsgs=false}, exception=MissingDeviceException})
2015-09-01 18:25:25.354 INFO  o.d.exploration.ExplorationStrategy        0m  7s /   1m  0s i:    5 <ExplAct LC? 0 Wdgt:TextView/"Budget"/"at.markushi.expensemanager:id/txt_menu_home_limits"/[148,297]>
2015-09-01 18:25:25.357 DEBUG org.droidmate.device.AndroidDevice       readLogcatMessages(tag: Monitor_init)
2015-09-01 18:25:25.397 DEBUG org.droidmate.device.AndroidDevice       readLogcatMessages(tag: Instrumentation)
2015-09-01 18:25:25.437 DEBUG org.droidmate.exploration.ApiLogsReader  getAndClearCurrentApiLogsFromMonitorTcpServer(deviceTimeDiff)
2015-09-01 18:25:25.437 DEBUG org.droidmate.device.AndroidDevice       readAndClearMonitorTcpMessages()
2015-09-01 18:25:25.456 DEBUG org.droidmate.exploration.ApiLogsReader  apiLogs# 0
2015-09-01 18:25:25.459 DEBUG org.droidmate.device.AndroidDevice       perform(ClickGuiAction{148 297 long: false})
2015-09-01 18:25:27.936 DEBUG org.droidmate.exploration.ApiLogsReader  getAndClearCurrentApiLogsFromMonitorTcpServer(deviceTimeDiff)
2015-09-01 18:25:27.937 DEBUG org.droidmate.device.AndroidDevice       readAndClearMonitorTcpMessages()
