# minDate: 2014-01-22 (inferred from apk metadata) 
# maxDate: 2015-05-26 (inferred from apk metadata) 
Games > Board           |     Top Free | 1 | 2014-03-31 | /jacobs/APKs/co/com./com.week/com.weekendgames.AbaloneFree/1.0.29/com.weekendgames.AbaloneFree.apk                                                       
Games > Board           |     Top Free | 1 | 2014-03-18 | /jacobs/APKs/co/com./com.kira/com.kiragames.unblockmefree/1.3.6.7/com.kiragames.unblockmefree.apk                                                        
Games > Brain & Puzzle  |     Top Free | 1 | 2014-01-22 | /jacobs/APKs/se/se.f/se.feome/se.feomedia.quizkampen.de.lite/1.3.2/se.feomedia.quizkampen.de.lite.apk                                                    
Games > Brain & Puzzle  |     Top Free | 2 | 2014-01-31 | /jacobs/APKs/we/wer./wer.wird/wer.wird.millionaer.free/1.5/wer.wird.millionaer.free.apk                                                                  
Games > Brain & Puzzle  |     Top Free | 2 | 2014-01-24 | /jacobs/APKs/co/com./com.fres/com.freshgames.escapethetitanic/1.0.14/com.freshgames.escapethetitanic.apk                                                 
Games > Card            |     Top Free | 1 | 2014-04-07 | /jacobs/APKs/nl/nl.o/nl.omniv/nl.omnivision.halligalliFREE/1.1.0.0/nl.omnivision.halligalliFREE.apk                                                      
Games > Card            |     Top Free | 1 | 2014-10-25 | /jacobs/APKs/co/com./com.mobi/com.mobilityware.solitaire/3.1.2/com.mobilityware.solitaire.apk                                                            
Games > Card            |     Top Free | 1 | 2014-06-04 | /jacobs/APKs/co/com./com.game/com.gameloft.android.ANMP.GloftUOHM/1.7.0u/com.gameloft.android.ANMP.GloftUOHM.apk                                         
Games > Cards & Casino  |     Top Free | 1 | 2014-02-10 | /jacobs/APKs/co/com./com.mobi/com.mobilityware.solitaire/3.0/com.mobilityware.solitaire.apk                                                              
Games > Cards & Casino  |     Top Free | 1 | 2014-01-22 | /jacobs/APKs/co/com./com.game/com.gamevil.kaizinrumble/1.1.0/com.gamevil.kaizinrumble.apk                                                                
Games > Cards & Casino  |     Top Free | 1 | 2014-01-27 | /jacobs/APKs/co/com./com.game/com.gameloft.android.ANMP.GloftUOHM/1.5.1/com.gameloft.android.ANMP.GloftUOHM.apk                                          
Games > Casino          |     Top Free | 1 | 2015-04-19 | /jacobs/APKs/co/com./com.funs/com.funstage.gta.ma.bookofradeluxe/2.2.2/com.funstage.gta.ma.bookofradeluxe.apk                                            
Games > Casino          |     Top Free | 1 | 2014-04-10 | /jacobs/APKs/co/com./com.igg./com.igg.bzbee.bingobyigg/1.3.1/com.igg.bzbee.bingobyigg.apk                                                                
Games > Casino          |     Top Free | 1 | 2014-08-29 | /jacobs/APKs/co/com./com.five/com.fivestargames.slots/1.09/com.fivestargames.slots.apk                                                                   
Games > Casual          |     Top Free | 1 | 2014-10-11 | /jacobs/APKs/co/com./com.king/com.king.candycrushsaga/1.39.4/com.king.candycrushsaga.apk                                                                 
Games > Casual          |     Top Free | 2 | 2014-10-25 | /jacobs/APKs/co/com./com.kudr/com.kudre.tangram/2.6.12/com.kudre.tangram.apk                                                                             
Games > Casual          |     Top Free | 2 | 2014-09-05 | /jacobs/APKs/co/com./com.mida/com.midasplayer.apps.bubblewitchsaga2/1.8.4/com.midasplayer.apps.bubblewitchsaga2.apk                                      
Games > Educational     |     Top Free | 1 | 2014-08-11 | /jacobs/APKs/co/com./com.lego/com.lego.bricksmore/2.0.2/com.lego.bricksmore.apk                                                                          
