# minDate: 2014-01-22 (inferred from apk metadata) 
# maxDate: 2015-05-26 (inferred from apk metadata) 
Games                   |     Top Free | 1 | 2014-09-27 | /jacobs/APKs/co/com./com.ea.g/com.ea.game.fifa15_row/1.1.0/com.ea.game.fifa15_row.apk                                                                                                                                                                                          
Games                   |     Top Free | 1 | 2014-10-22 | /jacobs/APKs/co/com./com.supe/com.supercell.clashofclans/6.253.5/com.supercell.clashofclans.apk                                                                                                                                                                                
Games                   |     Top Free | 1 | 2014-10-13 | /jacobs/APKs/co/com./com.king/com.king.candycrushsaga/1.39.4/com.king.candycrushsaga.apk                                                                                                                                                                                       
Games                   |     Top Free | 1 | 2014-02-09 | /jacobs/APKs/co/com./com.dotg/com.dotgears.flappybird/1.3/com.dotgears.flappybird.apk                                                                                                                                                                                          
Games                   |     Top Free | 1 | 2014-09-04 | /jacobs/APKs/co/com./com.dotg/com.dotgears.swing/1.2.1/com.dotgears.swing.apk                                                                                                                                                                                                  
Games > Action          |     Top Free | 1 | 2014-05-09 | /jacobs/APKs/co/com./com.chil/com.chillingo.ironforce.android.rowgplay/1.5.2/com.chillingo.ironforce.android.rowgplay.apk                                                                                                                                                      
Games > Action          |     Top Free | 1 | 2014-08-23 | /jacobs/APKs/co/com./com.outf/com.outfit7.movingeye.swampattack/1.4/com.outfit7.movingeye.swampattack.apk                                                                                                                                                                      
Games > Action          |     Top Free | 1 | 2014-06-20 | /jacobs/APKs/co/com./com.iugo/com.iugome.lilknights/1.10.300/com.iugome.lilknights.apk                                                                                                                                                                                         
Games > Action          |     Top Free | 1 | 2014-04-14 | /jacobs/APKs/co/com./com.mrfl/com.mrflap/1.0.9/com.mrflap.apk                                                                                                                                                                                                                  
Games > Action          |     Top Free | 1 | 2014-06-25 | /jacobs/APKs/co/com./com.topf/com.topfungames.deathroom/1.2/com.topfungames.deathroom.apk                                                                                                                                                                                      
Games > Adventure       |     Top Free | 1 | 2014-08-03 | /jacobs/APKs/mi/mine/minecraf/minecraft.pixelmon.wikicraftnew/1.0/minecraft.pixelmon.wikicraftnew.apk                                                                                                                                                                          
Games > Adventure       |     Top Free | 1 | 2014-06-19 | /jacobs/APKs/co/com./com.ggps/com.ggpsgames.creativekiller/1.3/com.ggpsgames.creativekiller.apk                                                                                                                                                                                
Games > Adventure       |     Top Free | 1 | 2014-08-14 | /jacobs/APKs/co/com./com.game/com.gameloft.android.ANMP.GloftIVHM/1.0.1d/com.gameloft.android.ANMP.GloftIVHM.apk                                                                                                                                                               
Games > Adventure       |     Top Free | 1 | 2014-09-03 | /jacobs/APKs/co/com./com.game/com.gamevil.monster.global/1.3.2/com.gamevil.monster.global.apk                                                                                                                                                                                  
Games > Adventure       |     Top Free | 1 | 2014-08-02 | /jacobs/APKs/co/com./com.than/com.thankcreate.StrangeAdventure/5.0.1/com.thankcreate.StrangeAdventure.apk                                                                                                                                                                      
Games > Arcade          |     Top Free | 1 | 2014-03-18 | /jacobs/APKs/co/com./com.sper/com.sperminator.game/1.0.1/com.sperminator.game.apk                                                                                                                                                                                              
Games > Arcade          |     Top Free | 1 | 2014-09-04 | /jacobs/APKs/co/com./com.dotg/com.dotgears.swing/1.2.1/com.dotgears.swing.apk                                                                                                                                                                                                  
Games > Arcade          |     Top Free | 1 | 2014-09-15 | /jacobs/APKs/co/com./com.umon/com.umonistudio.tile/2.8.1/com.umonistudio.tile.apk                                                                                                                                                                                              
Games > Arcade          |     Top Free | 2 | 2014-09-20 | /jacobs/APKs/co/com./com.robt/com.robtopx.geometryjumplite/1.81/com.robtopx.geometryjumplite.apk                                                                                                                                                                               
Games > Arcade          |     Top Free | 2 | 2014-08-31 | /jacobs/APKs/co/com./com.kilo/com.kiloo.subwaysurf/1.28.0/com.kiloo.subwaysurf.apk                                                                                                                                                                                             
Games > Arcade & Action |     Top Free | 1 | 2014-03-12 | /jacobs/APKs/co/com./com.kilo/com.kiloo.subwaysurf/1.20.1/com.kiloo.subwaysurf.apk                                                                                                                                                                                             
Games > Arcade & Action |     Top Free | 1 | 2014-02-24 | /jacobs/APKs/co/com./com.lego/com.lego.city.my_city/1.0.0/com.lego.city.my_city.apk                                                                                                                                                                                            
Games > Arcade & Action |     Top Free | 1 | 2014-03-14 | /jacobs/APKs/co/com./com.sper/com.sperminator.game/1.0.1/com.sperminator.game.apk                                                                                                                                                                                              
Games > Arcade & Action |     Top Free | 1 | 2014-02-04 | /jacobs/APKs/co/com./com.dotg/com.dotgears.flappybird/1.3/com.dotgears.flappybird.apk                                                                                                                                                                                          
Games > Arcade & Action |     Top Free | 2 | 2014-01-31 | /jacobs/APKs/co/com./com.supe/com.supercell.clashofclans/5.172/com.supercell.clashofclans.apk                                                                                                                                                                                  
