# minDate: 2014-01-22 (inferred from apk metadata) 
# maxDate: 2015-05-26 (inferred from apk metadata) 
Business                |     Top Free |  9 | 2015-01-25 | /jacobs/APKs/so/soft/softmake/softmaker.applications.planmakertrial/1.0/softmaker.applications.planmakertrial.apk                                                                                                                                                              
Business                |     Top Free |  9 | 2014-10-27 | /jacobs/APKs/co/com./com.andr/com.andropenoffice/1.5.9a/com.andropenoffice.apk                                                                                                                                                                                                 
Business                |     Top Free |  9 | 2014-04-19 | /jacobs/APKs/co/com./com.spor/com.sportstippr4r14443/1.0.1/com.sportstippr4r14443.apk                                                                                                                                                                                          
Business                |     Top Free |  9 | 2014-08-16 | /jacobs/APKs/co/com./com.estr/com.estrongs.android.taskmanager/1.4.2/com.estrongs.android.taskmanager.apk                                                                                                                                                                      
Business                |     Top Free |  9 | 2014-07-24 | /jacobs/APKs/co/com./com.alle/com.allesklar.job/2.1.1.239451/com.allesklar.job.apk                                                                                                                                                                                             
Business                |     Top Free | 10 | 2015-03-28 | /jacobs/APKs/co/com./com.step/com.stepstone.borowf01/1.5.2/com.stepstone.borowf01.apk                                                                                                                                                                                          
Comics                  |     Top Free |  1 | 2014-02-02 | /jacobs/APKs/ar/arli/arlind.S/arlind.Shqip/2.0/arlind.Shqip.apk                                                                                                                                                                                                                
Comics                  |     Top Free |  1 | 2014-06-07 | /jacobs/APKs/co/com./com.ht.m/com.ht.manga.gpanda/1.3.4/com.ht.manga.gpanda.apk                                                                                                                                                                                                
Comics                  |     Top Free |  1 | 2014-09-07 | /jacobs/APKs/co/com./com.ben./com.ben.lianmeng/1.0/com.ben.lianmeng.apk                                                                                                                                                                                                        
Comics                  |     Top Free |  1 | 2014-12-10 | /jacobs/APKs/de/de.n/de.nicht/de.nichtlustig.android/1.0.6/de.nichtlustig.android.apk                                                                                                                                                                                          
Comics                  |     Top Free |  2 | 2014-05-08 | /jacobs/APKs/co/com./com.supo/com.supo.pocket.mangareader/1.1.6/com.supo.pocket.mangareader.apk                                                                                                                                                                                
Comics                  |     Top Free |  2 | 2015-03-28 | /jacobs/APKs/co/com./com.nota/com.notabasement.mangarock.android.titan/1.9.2/com.notabasement.mangarock.android.titan.apk                                                                                                                                                      
Comics                  |     Top Free |  2 | 2015-01-27 | /jacobs/APKs/co/com./com.howt/com.howtostudios.learntodrawanimemanga/2.0/com.howtostudios.learntodrawanimemanga.apk                                                                                                                                                            
Comics                  |     Top Free |  3 | 2015-05-12 | /jacobs/APKs/co/com./com.jera/com.jerasoftware.funsounds/3.0.0/com.jerasoftware.funsounds.apk                                                                                                                                                                                  
Comics                  |     Top Free |  3 | 2015-05-19 | /jacobs/APKs/co/com./com.poke/com.poker.clubs.wallpapers.cute.anime.girl/1.04/com.poker.clubs.wallpapers.cute.anime.girl.apk                                                                                                                                                   
Comics                  |     Top Free |  3 | 2014-01-27 | /jacobs/APKs/co/com./com.AL37/com.AL37.ClashofClans.DespicableMe/1.1/com.AL37.ClashofClans.DespicableMe.apk                                                                                                                                                                    
Comics                  |     Top Free |  3 | 2014-09-03 | /jacobs/APKs/co/com./com.myin/com.myinstants.android/1.3.0/com.myinstants.android.apk                                                                                                                                                                                          
Comics                  |     Top Free |  3 | 2015-04-19 | /jacobs/APKs/de/de.c/de.caspa/de.casparwre.insult/16/de.casparwre.insult.apk                                                                                                                                                                                                   
Comics                  |     Top Free |  4 | 2014-12-15 | /jacobs/APKs/ne/net./net.voic/net.voicechanger/1.1/net.voicechanger.apk                                                                                                                                                                                                        
Comics                  |     Top Free |  4 | 2014-12-10 | /jacobs/APKs/co/com./com.loud/com.loudcrow.marvelavengers/1.2/com.loudcrow.marvelavengers.apk                                                                                                                                                                                  
Comics                  |     Top Free |  4 | 2015-01-11 | /jacobs/APKs/co/com./com.mobi/com.mobi.manga.reader/1.0.4/com.mobi.manga.reader.apk                                                                                                                                                                                            
Comics                  |     Top Free |  4 | 2014-04-19 | /jacobs/APKs/co/com./com.apps/com.appsry.barbievideo/1.0/com.appsry.barbievideo.apk                                                                                                                                                                                            
Comics                  |     Top Free |  4 | 2015-05-09 | /jacobs/APKs/co/com./com.ef.a/com.ef.amvideos/1.4/com.ef.amvideos.apk                                                                                                                                                                                                          
Comics                  |     Top Free |  4 | 2014-01-27 | /jacobs/APKs/co/com./com.funp/com.funpokes.pokemonlove/7.8/com.funpokes.pokemonlove.apk                                                                                                                                                                                        
Comics                  |     Top Free |  4 | 2014-05-07 | /jacobs/APKs/co/com./com.newx/com.newxjwps.Anime/1.0/com.newxjwps.Anime.apk                                                                                                                                                                                                    
Comics                  |     Top Free |  5 | 2014-11-04 | /jacobs/APKs/co/com./com.Cart/com.CartoonImage.DIY/1.0/com.CartoonImage.DIY.apk                                                                                                                                                                                                
Communication           |     Top Free |  1 | 2014-09-17 | /jacobs/APKs/co/com./com.face/com.facebook.orca/12.0.0.21.14/com.facebook.orca.apk                                                                                                                                                                                             
Communication           |     Top Free |  2 | 2014-09-03 | /jacobs/APKs/co/com./com.skyp/com.skype.raider/5.0.0.51733/com.skype.raider.apk                                                                                                                                                                                                
Communication           |     Top Free |  3 | 2014-10-08 | /jacobs/APKs/co/com./com.anti/com.antivirus/4.1.2/com.antivirus.apk                                                                                                                                                                                                            
Communication           |     Top Free |  3 | 2014-08-02 | /jacobs/APKs/co/com./com.vibe/com.viber.voip/4.3.3.67/com.viber.voip.apk                                                                                                                                                                                                       
Communication           |     Top Free |  5 | 2014-08-14 | /jacobs/APKs/de/de.w/de.web.m/de.web.mobile.android.mail/2.34.2/de.web.mobile.android.mail.apk                                                                                                                                                                                 
Communication           |     Top Free |  6 | 2014-09-03 | /jacobs/APKs/or/org./org.mozi/org.mozilla.firefox/32.0/org.mozilla.firefox.apk                                                                                                                                                                                                 
Communication           |     Top Free |  7 | 2014-02-27 | /jacobs/APKs/co/com./com.bsb./com.bsb.hike/2.8.2/com.bsb.hike.apk                                                                                                                                                                                                              
Communication           |     Top Free |  7 | 2014-08-21 | /jacobs/APKs/de/de.g/de.gmx.m/de.gmx.mobile.android.mail/2.35.3/de.gmx.mobile.android.mail.apk                                                                                                                                                                                 
